Complexity,Loss,Equation
1,1515.825,"219.45987"
3,1266.1715,"x53 * 17.74357"
5,337.84955,"(x53 + 11.138544) * 9.545227"
7,86.104836,"((x54 + x53) + 13.1267185) * 8.1273365"
9,76.799835,"((x53 + (x54 + x55)) * 7.9547114) + 107.99188"
11,76.79216,"((((x54 + x53) + x55) * 7.9547114) + 107.99188) - x42"
12,76.784424,"(((x55 + (x53 + x54)) - neg(x24)) * 7.997143) - -107.46163"
13,76.62614,"((((x54 + (x55 + x53)) - 37.13115) * 7.9962974) - -405.52344) - x25"
16,76.41811,"(268.00723 - safe_abs(-137.5162 - (((x54 + (x55 + x53)) - 37.13115) * 7.9962974))) - x25"
17,74.63897,"safe_abs(267.17795 - safe_abs((-137.78897 - (((x54 + (x55 + x53)) - 36.76553) * 8.149555)) * x25))"
18,71.95683,"safe_abs(258.853 - (((-137.77719 - (((x54 + x55) + (x53 - 34.974415)) * 8.016398)) * x25) + 9.491977))"
19,70.96578,"274.26895 - safe_abs(safe_abs(((-134.05226 - (((x54 + x55) + (x53 - 34.515266)) * 7.90226)) * x25) + 27.367958))"
